stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,0,g-0.3_w0.25,fNIRS_only,8,8,0.7780028370330774,0.90234375,0.18667333357824067,0.7780028370330774,0.90234375,0.18667333357824067,0.2465161404996669,0.939453125,0.035486365391419916,0.2612281049619303,0.912109375,0.011586665077681404,283.28237640440227
discovery,true_g,1,g-0.3_w0.25,full,8,8,0.872872394138146,0.75390625,0.14825282706025517,0.872872394138146,0.75390625,0.14825282706025517,0.18729479383873865,0.93359375,0.03334380429637211,0.2291778828864403,0.93359375,0.011512463113491914,321.0268128329847
discovery,true_g,1,g-0.3_w0.25,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,0.8443985031034499,0.630859375,0.08564567501984888,0.8309152578083914,0.701171875,0.026121386564905077,48.29674533314375
discovery,true_g,1,g-0.3_w0.25,fNIRS_only,8,8,1.031424012392752,0.767578125,0.18728103583944114,1.031424012392752,0.767578125,0.18728103583944114,0.20268294066497655,0.923828125,0.03552658704574724,0.21166891231612756,0.947265625,0.011870145589969374,280.9205379076472
discovery,true_g,0,g-0.3_w0.5,full,8,8,0.6840042494672731,0.841796875,0.1434346448936526,0.6840042494672731,0.841796875,0.1434346448936526,0.25119600039666534,0.94921875,0.03461049277246793,0.2521555989867785,0.9140625,0.01138294399142159,329.50845734144985
discovery,true_g,0,g-0.3_w0.5,EEG_only,8,8,0.6518462380540784,0.931640625,0.17223438275231648,0.6518462380540784,0.931640625,0.17223438275231648,0.8712390077702377,0.845703125,0.08732274507853134,0.8049308051232718,0.880859375,0.02604498536624123,46.18515592339894
discovery,true_g,0,g-0.3_w0.5,fNIRS_only,8,8,0.8398327689277831,0.833984375,0.1743391242936395,0.8398327689277831,0.833984375,0.1743391242936395,0.2550731355115023,0.94140625,0.03754568350873831,0.26548774024509536,0.908203125,0.011856417166937482,282.9575691658099
discovery,true_g,1,g-0.3_w0.5,full,8,8,0.9372310240962651,0.728515625,0.14361968751760978,0.9372310240962651,0.728515625,0.14361968751760978,0.20132026964744207,0.939453125,0.03556097788164919,0.234385324910154,0.931640625,0.011867592443604903,318.1394647276174
discovery,true_g,1,g-0.3_w0.5,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,0.8857820908139984,0.63671875,0.08947215575833287,0.8612472279883661,0.705078125,0.026763480038717667,48.296745333143754
discovery,true_g,1,g-0.3_w0.5,fNIRS_only,8,8,1.078743251589347,0.701171875,0.17493654158984348,1.078743251589347,0.701171875,0.17493654158984348,0.2133561281845423,0.931640625,0.03746524324275246,0.21550838398965735,0.951171875,0.012149712821630347,280.8667362561606
discovery,true_g,0,g0_w-0.5,full,8,8,0.6371114084099053,0.9140625,0.16109446303095837,0.6371114084099053,0.9140625,0.16109446303095837,0.2463625395880725,0.84765625,0.029480421340567435,0.25700560712894777,0.8984375,0.010616900236044622,329.33301247247334
discovery,true_g,0,g0_w-0.5,EEG_only,8,8,0.6518462380540784,0.931640625,0.17223438275231645,0.6518462380540784,0.931640625,0.17223438275231645,0.7162415694956621,0.900390625,0.10157641581756738,0.6776057511735644,0.927734375,0.03213269173457881,46.18515592339894
discovery,true_g,0,g0_w-0.5,fNIRS_only,8,8,0.8752295707687352,0.873046875,0.22585941147273664,0.8752295707687352,0.873046875,0.22585941147273664,0.2481857491736869,0.8984375,0.03165534217214144,0.2575977862280191,0.912109375,0.010991638981936096,282.13814555225656
discovery,true_g,1,g0_w-0.5,full,8,8,0.763607660262539,0.83984375,0.16070330519729467,0.763607660262539,0.83984375,0.16070330519729467,0.23477419555895826,0.78125,0.030332620562234895,0.23773035414728033,0.90234375,0.01091346664402635,324.1899639322553
discovery,true_g,1,g0_w-0.5,EEG_only,8,8,0.6730391794111774,0.923828125,0.17146327569928918,0.6730391794111774,0.923828125,0.17146327569928918,0.8609746139445023,0.611328125,0.10526121344822177,0.8142437564200227,0.728515625,0.03283415509260801,48.296745333143754
discovery,true_g,1,g0_w-0.5,fNIRS_only,8,8,1.133241993024106,0.791015625,0.22632631692634242,1.133241993024106,0.791015625,0.22632631692634242,0.22583710294136425,0.830078125,0.03198791687627398,0.23637864816135803,0.90625,0.011315033097758546,279.6998181467119
discovery,true_g,0,g0_w-0.25,full,8,8,0.5878251238900747,0.92578125,0.1553061475973173,0.5878251238900747,0.92578125,0.1553061475973173,0.21558408809206475,0.919921875,0.030434812490469136,0.23624701550774696,0.919921875,0.010791563757039133,332.1757798440151
discovery,true_g,0,g0_w-0.25,EEG_only,8,8,0.6518462380540782,0.931640625,0.17223438275231648,0.6518462380540782,0.931640625,0.17223438275231648,0.6141880931337582,0.927734375,0.09866804259285127,0.5852019989604677,0.95703125,0.030777073162339883,46.18515592339893
